language,average-simplemma,single-words-simplemma,word-pairs-simplemma,sentences-simplemma,average-cld2,single-words-cld2,word-pairs-cld2,sentences-cld2,average-cld3,single-words-cld3,word-pairs-cld3,sentences-cld3,average-langid,single-words-langid,word-pairs-langid,sentences-langid,average-fasttext,single-words-fasttext,word-pairs-fasttext,sentences-fasttext,average-fastspell-cons,single-words-fastspell-cons,word-pairs-fastspell-cons,sentences-fastspell-cons,average-fastspell-aggr,single-words-fastspell-aggr,word-pairs-fastspell-aggr,sentences-fastspell-aggr,average-langdetect,single-words-langdetect,word-pairs-langdetect,sentences-langdetect,average-lingua-low,single-words-lingua-low,word-pairs-lingua-low,sentences-lingua-low,average-lingua-high,single-words-lingua-high,word-pairs-lingua-high,sentences-lingua-high
Slovene,72,48,72,96,48,8,42,92,63,29,60,99,63,33,61,95,59,32,54,90,75,56,74,96,77,57,78,97,73,48,72,98,67,39,68,93,82,61,87,99
Somali,NaN,NaN,NaN,NaN,70,27,83,99,69,38,70,100,NaN,NaN,NaN,NaN,24,4,15,52,51,18,46,89,52,20,48,89,90,76,95,100,85,64,90,100,92,82,96,100
Sotho,NaN,NaN,NaN,NaN,54,13,54,95,49,15,33,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,43,75,97,86,67,90,100
Spanish,50,16,41,92,43,12,34,85,48,16,32,96,65,37,59,98,74,51,72,100,64,48,60,85,73,52,74,94,56,25,46,98,56,26,49,94,70,44,69,97
Swahili,46,26,41,72,57,16,59,97,57,25,49,98,42,3,24,98,41,7,24,92,41,7,24,92,41,7,24,92,73,47,74,99,70,43,68,97,81,60,84,98
Swedish,59,29,62,87,53,14,52,93,61,30,56,96,65,35,63,96,76,51,78,98,79,57,82,98,81,59,85,99,68,40,67,96,72,46,76,94,84,64,88,99
Tagalog,12,9,11,15,50,9,44,95,NaN,NaN,NaN,NaN,42,2,26,98,45,11,28,98,46,11,28,98,46,11,28,98,76,51,78,99,66,36,67,96,78,52,83,98
Tamil,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Telugu,NaN,NaN,NaN,NaN,100,100,100,100,99,99,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Thai,NaN,NaN,NaN,NaN,100,100,100,100,99,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Tsonga,NaN,NaN,NaN,NaN,61,19,68,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,46,73,97,84,66,89,98
Tswana,NaN,NaN,NaN,NaN,56,17,57,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,44,73,96,84,65,88,99
Turkish,76,55,78,96,66,30,71,97,69,41,70,97,67,50,67,84,86,70,88,100,86,70,88,100,86,70,88,100,82,63,84,100,87,71,91,100,94,84,98,100
Ukrainian,78,62,75,97,77,46,88,99,81,62,83,98,76,54,77,96,91,78,94,100,95,90,95,100,98,94,98,100,83,66,84,98,86,75,92,93,92,84,97,95
Urdu,NaN,NaN,NaN,NaN,61,8,75,99,61,39,53,92,58,30,46,99,63,40,50,99,75,59,68,99,80,68,74,99,83,67,83,97,79,65,78,94,90,80,94,96
Vietnamese,NaN,NaN,NaN,NaN,63,NaN,90,100,66,26,74,99,86,65,93,100,89,71,97,100,89,71,97,100,89,71,97,100,93,81,98,100,87,76,87,98,91,79,94,99
Welsh,69,58,60,90,72,34,85,98,69,43,66,98,49,11,39,95,64,35,61,96,69,41,71,96,72,46,74,97,85,69,88,99,82,61,87,99,91,78,96,99
Xhosa,NaN,NaN,NaN,NaN,71,45,71,97,66,40,65,92,53,13,49,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,45,67,94,82,64,85,98
Yoruba,NaN,NaN,NaN,NaN,37,1,22,88,15,5,11,28,NaN,NaN,NaN,NaN,8,1,1,21,8,1,1,22,8,1,1,22,NaN,NaN,NaN,NaN,62,33,61,92,74,50,77,96
Zulu,NaN,NaN,NaN,NaN,54,18,51,93,63,35,63,92,6,0,6,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,45,72,94,81,62,83,97
